"","id","year_2030_SSP1","year_2030_SSP2","year_2030_SSP3","year_2030_SSP1_TotalWTP","year_2030_SSP2_TotalWTP","year_2030_SSP3_TotalWTP","year_2050_SSP1","year_2050_SSP2","year_2050_SSP3","year_2050_SSP1_TotalWTP","year_2050_SSP2_TotalWTP","year_2050_SSP3_TotalWTP","year_2100_SSP1","year_2100_SSP2","year_2100_SSP3","year_2100_SSP1_TotalWTP","year_2100_SSP2_TotalWTP","year_2100_SSP3_TotalWTP"
"2001",11799,-0.00131829089359478,-0.00357374332462955,-0.00264972315824149,0,0,0,-0.00471546782143605,-0.00502023441835479,-0.00403825403379515,0,0,0,-0.00589650337396879,-0.00913052460714382,-0.0124596845842716,0,0,0
"2002",118,-0.0676573679349219,-0.0568413070837732,-0.0304313017848222,-1629.51373796546,-1369.01114548255,-732.931620547793,-0.171777076130238,-0.162940710849308,-0.128661952539716,-4137.2154129762,-3924.39337956801,-3098.79656297877,-0.264536064155667,-0.267187085624174,-0.289906161582976,-6371.29648826428,-6435.14579299525,-6982.33004681308
"2003",1180,-0.0150731255744611,-0.0145780171580158,-0.00690445272433527,0,0,0,-0.0378856115876694,-0.0362896157308926,-0.0279746920618729,0,0,0,-0.0551878191696168,-0.0556532822804183,-0.0597508014035578,0,0,0
"2004",11800,-0.204507919861518,-0.461561283965521,-0.442909910144234,-1638.1113696757,-3697.11250096338,-3547.71472929072,-0.0142895244159024,-0.120896045016249,-0.552426618576426,-114.459295409189,-968.379053603623,-4424.94513373526,1.44894999008059,-0.234171491980729,-1.0649725769476,11606.1101909879,-1875.71700757265,-8530.44560754426
"2005",11801,-0.0286093135773875,-0.0870621822301758,-0.0623817470345342,0,0,0,-0.118849836597582,-0.123732294351638,-0.0932102843705738,0,0,0,-0.158607304818973,-0.237536239701583,-0.319601638221014,0,0,0
"2006",11802,-0.2416708917393,-0.545865100199047,-0.52526581937393,-3088.15591090392,-6975.25681973439,-6712.03194237069,-0.0249395959410244,-0.139848758306149,-0.652437732601582,-318.686955083989,-1787.03676925059,-8337.07951309172,1.62220299301499,-0.382168008515993,-1.2716950902315,20729.0821228455,-4883.47763341795,-16250.1684894774
"2007",11803,0.000902122963594902,-0.0352553399553522,-0.0128250341039591,0,0,0,-0.07421651495941,-0.072779621584728,-0.0330435105049747,0,0,0,-0.114223742184245,-0.152305897951475,-0.188468693059102,0,0,0
"2008",11804,-0.0220882067735271,-0.111465409147502,-0.0737696097165723,-8240.2193661832,-41583.2499457408,-27520.4670462801,-0.151411704146928,-0.146076148620485,-0.0922037724447924,-56485.6020034027,-54495.121362347,-34397.5099076548,-0.206942937014315,-0.326287302099414,-0.446214411273463,-77202.0660058267,-121724.636737902,-166464.605793732
"2009",11805,-0.0816945218841977,-0.183162360918612,-0.175464521926488,-26.7886068709731,-60.061119975256,-57.5369068730805,-0.00686120830047709,-0.0505133937583385,-0.218956295307448,-2.24987193243971,-16.5639435289056,-71.798377438702,0.603370153062339,-0.0835450084536936,-0.417515840077738,197.852260534404,-27.3954034601068,-136.908417410177
"2010",11806,-0.0894228191711618,-0.200596223728336,-0.192252846465762,-29.3228076108459,-65.7778912627386,-63.0419984720304,-0.0072386535064211,-0.0547612034421868,-0.239779790152175,-2.37364071159605,-17.9568509241484,-78.6266494477584,0.658181581895946,-0.093975252946313,-0.457474234020754,215.825580962684,-30.8156048743091,-150.011250768481
